Hi,Hi.
Wood burns.,Kuni kuchoma.
Be creative.,Kuwa mbunifu.
Be creative.,Kuwa mbunifu.
Be merciful.,Kuwa na huruma.
Be prepared.,Kuwa tayari.
Be prepared.,Kuwa tayari.
Be prepared.,Kuwa tayari.
Be tolerant.,Kuwa mvumilivu.
Be vigilant.,Kuwa macho.
Come closer.,Njoo karibu.
Come inside.,Njoo ndani.
Contact Tom.,Wasiliana na Tom.
Don't argue.,Usibishane.
Don't cheat.,Usidanganye.
Don't worry.,Usijali.
Don't worry.,Usijali.
Go find Tom.,Nenda utafute Tom.
Have a seat.,Kuwa na kiti.
He can come.,Anaweza kuja.
He is alone.,Yuko peke yake.
He is alone.,Yuko peke yake.
He is happy.,Anafuraha.
He's strong.,Yeye ni hodari.
Here we are.,Tuko hapa.
Here we are.,Tuko hapa.
I am afraid.,Ninaogopa.
I am coming.,Nakuja.
I am coming.,Nakuja.
I dug a pit.,Nilichimba shimo.
I feel cold.,Ninahisi baridi.
I live here.,Naishi hapa.
I live here.,Naishi hapa.
I love rock.,Napenda mwamba.
I want more.,Nataka zaidi.
I'll attend.,Nitahudhuria.
I'm at home.,Nipo nyumbani.
I'm at home.,Nipo nyumbani.
I'm at home.,Nipo nyumbani.
I'm married.,Mimi nina ndoa.
I'm reading.,Ninasoma.
I'm serious.,Mimi ni mbaya.
I'm serious.,Mimi ni mbaya.
Is Tom here?,Tom yuko hapa?
Is that all?,Ni hayo tu?
It may rain.,Inaweza mvua.
It may rain.,Inaweza mvua.
It may snow.,Inaweza theluji.
It's Monday.,Ni Jumatatu.
It's Monday.,Ni Jumatatu.
Let's begin.,Wacha tuanze.
Let's party.,Tusherehekee.
Let's start!,Tuanze!
OK. I agree.,SAWA. Nakubali.
Please come.,Tafadhali njoo.
She's happy.,Anafurahi.
Take a look.,Angalia.
Tom is here.,Tom yuko hapa.
Tom's happy.,Tom anafurahi.
We know him.,Tunamjua.
We're happy.,Tunafurahi.
What's that?,Nini kile?
What's this?,Hii ni nini?
Who drew it?,Ni nani aliyechora?
Who drew it?,Ni nani aliyechora?
Who's there?,Nani huko?
You must go.,Lazima uende.
You must go.,Lazima uende.
You must go.,Lazima uende.
You must go.,Lazima uende.
You're rich.,Wewe ni tajiri.
Bring backup.,Kuleta Backup.
Can you come?,Unaweza kuja?
Can you come?,Unaweza kuja?
Can you swim?,Unaweza kuogelea?
Check around.,Angalia karibu.
Come forward.,Njoo mbele.
Come forward.,Njoo mbele.
Come quickly!,Njoo haraka!
Come with us.,Njoo nasi.
Do you smoke?,Je! Unavuta sigara?
Drive safely.,Endesha salama.
"Fish, please.","Samaki, tafadhali."
Good evening.,Habari za jioni.
Grab my hand.,Kunyakua mkono wangu.
He got angry.,Alikasirika.
He is French.,Yeye ni Mfaransa.
He is French.,Yeye ni Mfaransa.
He is French.,Yeye ni Mfaransa.
He let us go.,Alituacha tuende.
He mocked me.,Alinidhihaki.
I am thirsty.,Ninakiu.
I ate caviar.,Nilikula caviar.
I can't talk.,Siwezi kuzungumza.
I do hope so.,Natumai hivyo.
I don't know.,Sijui.
I don't know.,Sijui.
I don't know.,Sijui.
I don't know.,Sijui.
I don't know.,Sijui.
I have a car.,Nina gari.
I have a car.,Nina gari.
I hugged her.,Nilimkumbatia.
I love trips.,Ninapenda safari.
I slept late.,Nililala marehemu.
I'll ask him.,Nitamuuliza.
I'm a mother.,Mimi ni mama.
I'm free now.,Niko huru sasa.
I'm freezing.,Mimi ni kufungia.
I'm new here.,Mimi ni mpya hapa.
I'm not busy.,Sina shughuli.
I'm not thin.,Mimi sio mwembamba.
I'm pregnant.,Mimi ni mjamzito.
I'm so happy.,Nimefurahi sana.
Iron is hard.,Iron ni ngumu.
It's bedtime.,Ni wakati wa kulala.
It's raining.,Kunanyesha.
It's so dark.,Ni giza sana.
Ladies first.,Mabibi kwanza.
Let me do it.,Acha nifanye.
Look at that!,Angalia hiyo!
My eyes hurt.,Macho yangu yanaumiza.
No one knows.,Hakuna mtu anajua.
No one knows.,Hakuna mtu anajua.
Stop gawking.,Acha tanga.
Stop yelling!,Acha kupiga kelele!
Stop yelling!,Acha kupiga kelele!
Stop yelling!,Acha kupiga kelele!
Sweet dreams!,Ndoto nzuri!
Thanks again.,Asante tena.
This is ours.,Hii ni yetu.
This is true.,Hii ni kweli.
Tom's strict.,Tom kali.
Try it again.,Jaribu tena.
Try it again.,Jaribu tena.
Unbelievable!,Haiwezekani!
We need rain.,Tunahitaji mvua.
We succeeded!,Tulifanikiwa!
We succeeded.,Tulifanikiwa.
We're at war.,Tuko vitani.
We're coming.,Tunakuja.
Welcome home.,Karibu nyumbani.
What's wrong?,Nini tatizo?
What's wrong?,Nini tatizo?
Where is Tom?,Tom yuko wapi?
Won't you go?,Je! Hautaenda?
You know how.,Unajua jinsi.
You're crazy.,Wewe ni wazimu.
Are you ready?,Uko tayari?
Be respectful.,Kuwa mwenye heshima.
Bring the key.,Kuleta ufunguo.
Flowers bloom.,Maua Bloom.
He fooled her.,Alimdanganya.
He kissed her.,Akambusu.
He let Tom go.,Alimwacha Tom aende.
He sells cars.,Anauza magari.
He shot at me.,Alinipiga risasi.
He's so young.,Yeye ni mchanga sana.
He's so young.,Yeye ni mchanga sana.
He's very ill.,Yeye ni mgonjwa sana.
How big is it?,Ni kubwa kiasi gani?
How old is he?,Ana umri gani?
How's the job?,Kazi ikoje?
I am busy now.,Nina shughuli sasa.
I am busy now.,Nina shughuli sasa.
I am new here.,Mimi ni mpya hapa.
I came by car.,Nilikuja kwa gari.
I can't do it.,Siwezi kuifanya.
I can't do it.,Siwezi kuifanya.
I did see him.,Nilimwona.
I did see him.,Nilimwona.
I like tennis.,Napenda tenisi.
I like tennis.,Napenda tenisi.
I lost my key.,Nilipoteza ufunguo wangu.
I love movies.,Ninapenda sinema.
I must go now.,Lazima niende sasa.
I need my key.,Ninahitaji ufunguo wangu.
I play violin.,Mimi hucheza violin.
I saw a ghost.,Niliona roho.
I took a walk.,Nilichukua matembezi.
I use Firefox.,Ninatumia Firefox.
I use Firefox.,Ninatumia Firefox.
I'll eat here.,Nitakula hapa.
I'm a bit shy.,Nina aibu kidogo.
I'm a tourist.,Mimi ni mtalii.
I'm in my car.,Niko kwenye gari langu.
I'm not going.,Siendi.
I'm not going.,Siendi.
I'm not happy.,Sina furaha.
I'm not happy.,Sina furaha.
I'm not tired.,Sina uchovu.
I'm observant.,Ninaangalia.
I'm on a diet.,Niko kwenye lishe.
Is that yours?,Je! Hiyo ni yako?
Is that yours?,Je! Hiyo ni yako?
It is raining.,Inanyesha.
It is raining.,Inanyesha.
It isn't mine.,Sio yangu.
It won't hurt.,Haitaumiza.
It's Saturday.,Ni Jumamosi.
It's a secret.,Ni siri.
It's improved.,Imeboreshwa.
It's very big.,Ni kubwa sana.
Let me see it.,Acha nione.
Let me try it.,Acha nijaribu.
Lock the gate.,Funga lango.
Love is blind.,Upendo ni kipofu.
Make me happy.,Nifurahishe.
Make your bed.,Tandika kitanda chako.
May I ask why?,Naomba kuuliza kwanini?
My head hurts.,Kichwa changu kinauma.
"No, thank you.",Hapana Asante.
"No, thank you.",Hapana Asante.
Our team lost.,Timu yetu ilipotea.
See you again.,Tuonane tena.
See you again.,Tuonane tena.
She bent down.,Akainama chini.
She is eating.,Anakula.
Shut the door.,Funga mlango.
Speak clearly.,Ongea wazi.
Stand at ease!,Simama kwa urahisi!
Thanks anyway.,Asante hata hivyo.
That's enough.,Inatosha.
That's enough.,Inatosha.
They hate you.,Wanakuchukia.
They know Tom.,Wanamjua Tom.
They're happy.,Wanafurahi.
They're happy.,Wanafurahi.
This is a dog.,Huyu ni mbwa.
This is a pen.,Hii ni kalamu.
This is a pun.,Hii ni pun.
Today was fun.,Leo ilikuwa ya kufurahisha.
Tom has a car.,Tom ana gari.
Tom has money.,Tom ana pesa.
Tom is absent.,Tom hayupo.
Tom was fired.,Tom alifukuzwa kazi.
Tom was naked.,Tom alikuwa uchi.
Wait a moment.,Subiri kidogo.
We are coming.,Tunakuja.
We are coming.,Tunakuja.
We are hungry.,Tuna njaa.
We understand.,Tunaelewa.
We wonder why.,Tunashangaa kwanini.
We've arrived.,Tumefika.
We've arrived.,Tumefika.
What a relief!,Ni unafuu gani!
What happened?,Nini kimetokea?
What happened?,Nini kimetokea?
Where are you?,Uko wapi?
Who said that?,Nani alisema hivyo?
Who says that?,Nani anasema hivyo?
You look busy.,Unaonekana kuwa na shughuli nyingi.
You look pale.,Unaonekana rangi.
You look pale.,Unaonekana rangi.
You look sick.,Unaonekana mgonjwa.
You look sick.,Unaonekana mgonjwa.
You may speak.,Unaweza kuongea.
You need this.,Unahitaji hii.
You should go.,Unafaa kuenda.
You should go.,Unafaa kuenda.
You're joking!,Unatania!
Are you hungry?,Una njaa?
Birds lay eggs.,Ndege huweka mayai.
Bring it to me.,Niletee.
Can I help you?,Naweza kukusaidia?
Can I help you?,Naweza kukusaidia?
Can I help you?,Naweza kukusaidia?
Close the door.,Funga mlango.
Come back soon.,Rudi karibuni.
Do as you want.,Fanya kama unavyotaka.
Do you know me?,Unanijua?
Do you love me?,Unanipenda?
Do you love me?,Unanipenda?
Do you promise?,Je! Unaahidi?
Do you promise?,Je! Unaahidi?
Does it matter?,Inajalisha?
Don't say that.,Usiseme hivyo.
Don't stop him.,Usimzuie.
Drop the knife!,Tupa kisu!
Follow the car.,Fuata gari.
Happy New Year!,Heri ya mwaka mpya!
Happy New Year!,Heri ya mwaka mpya!
Happy New Year!,Heri ya mwaka mpya!
Happy New Year!,Heri ya mwaka mpya!
Happy New Year!,Heri ya mwaka mpya!
Happy birthday!,Heri ya kuzaliwa!
He doesn't run.,Yeye haendesha.
He drives fast.,Anaendesha haraka.
He is a doctor.,Yeye ni daktari.
He is a genius.,Yeye ni fikra.
He is a genius.,Yeye ni fikra.
He sang a song.,Aliimba wimbo.
He seems tired.,Anaonekana amechoka.
He worked hard.,Alifanya kazi kwa bidii.
He's my father.,Yeye ni baba yangu.
He's ready now.,Yuko tayari sasa.
Here is a book.,Hapa kuna kitabu.
Here is a book.,Hapa kuna kitabu.
Here they come.,Hapa wanakuja.
Here's the bus.,Hapa kuna basi.
"Hi, come on in.","Halo, ingia."
How much is it?,Kiasi gani?
I am a student.,Mimi ni mwanafunzi.
I am in London.,Niko London.
I began to cry.,Nilianza kulia.
I began to cry.,Nilianza kulia.
I came on foot.,Nilikuja kwa miguu.
I came on foot.,Nilikuja kwa miguu.
I can't see it.,Siwezi kuiona.
I feel for you.,Ninahisi kwako.
I give my word.,Ninatoa neno langu.
I go to school.,Ninaenda shuleni.
I hated school.,Nilichukia shule.
I have a fever.,Nina homa.
I have a house.,Nina nyumba.
I have no idea.,Sijui.
I have sisters.,Nina dada.
I know the boy.,Najua kijana.
I like the dog.,Napenda mbwa.
I lost my keys.,Nimepoteza funguo zangu
I love lasagna.,Ninapenda Lasagna.
I must buy one.,Lazima ninunue moja.
I must buy one.,Lazima ninunue moja.
I need a knife.,Nahitaji kisu.
I quit smoking.,Niliacha kuvuta sigara.
I see the girl.,Naona msichana.
I study Korean.,Ninasoma Kikorea.
I usually walk.,Kawaida mimi hutembea.
I was in shock.,Nilishtuka.
I'll come back.,Nitarudi.
I'll stay home.,Nitakaa nyumbani.
I'm a free man.,Mimi ni mtu huru.
I'm from Tokyo.,Ninatoka Tokyo.
I'm in trouble.,Nina shida.
I'm still here.,Bado niko hapa.
I'm the killer.,Mimi ndiye muuaji.
I'm undressing.,Ninakata tamaa.
I'm very happy.,Nina furaha sana.
I'm very happy.,Nina furaha sana.
I'm very sorry.,Samahani sana.
Is he American?,Je! Yeye ni Mmarekani?
Is this French?,Je! Huyu ni Mfaransa?
Isn't it black?,Sio nyeusi?
Isn't it black?,Sio nyeusi?
It is Saturday.,Ni Jumamosi.
It's brand new.,Ni mpya kabisa.
It's hot today.,Ni moto leo.
It's hot today.,Ni moto leo.
It's ready now.,Iko tayari sasa.
It's too small.,Ni ndogo sana.
It's too small.,Ni ndogo sana.
It's up to you.,Ni juu yako.
It's up to you.,Ni juu yako.
It's very cold.,Ni baridi sana.
It's very cold.,Ni baridi sana.
It's very good.,Ni nzuri sana.
It's well done.,Imefanywa vizuri.
Just follow me.,Nifuate tu.
Leave it to me.,Acha kwangu.
Leave me alone!,Niache peke yangu!
Leave me alone!,Niache peke yangu!
Let us go home.,Wacha tuende nyumbani.
Let us go home.,Wacha tuende nyumbani.
Let's not talk.,Wacha tusizungumze.
Let's not talk.,Wacha tusizungumze.
Let's not talk.,Wacha tusizungumze.
Lynn runs fast.,Lynn anaendesha haraka.
May I sit here?,Naweza kukaa hapa?
Only God knows.,Mungu tu ndiye anayejua.
Please come in.,Tafadhali ingia.
Please come in.,Tafadhali ingia.
Please help me.,Tafadhali nisaidie.
Please hold on.,Tafadhali shikilia.
Prices went up.,Bei iliongezeka.
She grew roses.,Alikua Roses.
She might come.,Anaweza kuja.
She might come.,Anaweza kuja.
She's not here.,Yeye hayuko hapa.
Take your time.,Kuchukua muda wako.
That's a hotel.,Hiyo ni hoteli.
That's a hotel.,Hiyo ni hoteli.
That's my book.,Hiyo ni kitabu changu.
The birds sang.,Ndege waliimba.
They all drank.,Wote walikunywa.
They are happy.,Wanafurahi.
They are happy.,Wanafurahi.
They hated Tom.,Walimchukia Tom.
They let me go.,Waliniacha niende.
Think about it.,Fikiria juu yake.
Think about it.,Fikiria juu yake.
This is a book.,Hiki ni kitabu.
Time to get up.,Wakati wa kuamka.
Tom looks pale.,Tom anaonekana rangi.
Tom's not home.,Tom sio nyumbani.
Tom's the best.,Tom ndiye bora.
Wash your feet.,Osha miguu yako.
We are at home.,Tuko nyumbani.
We made him go.,Tulimfanya aende.
We'll kill you.,Tutakuua.
We're obedient.,Tunatii.
We're safe now.,Tuko salama sasa.
We're safe now.,Tuko salama sasa.
What a big dog!,Mbwa mkubwa!
What about Tom?,Je! Kuhusu Tom?
What if I fail?,Je! Nikishindwa?
When do we eat?,Tunakula lini?
Where is Paris?,Paris yuko wapi?
Where were you?,Ulikuwa wapi?
Who broke this?,Nani aliyevunja hii?
Why do you ask?,Kwa nini unauliza?
Why do you ask?,Kwa nini unauliza?
Why is he here?,Kwa nini yuko hapa?
Why is he here?,Kwa nini yuko hapa?
Why is he here?,Kwa nini yuko hapa?
"Yes, I know it.","Ndio, naijua."
"Yes, of course.","Ndio, kwa kweli."
You are stupid.,Wewe ni mpumbavu.
You have to go.,Lazima uende.
You have to go.,Lazima uende.
You have to go.,Lazima uende.
You look bored.,Unaonekana kuchoka.
You look happy.,Unaonekana mwenye furaha.
You look tired.,Unaonekana umechoka.
You're kidding!,Unatania!
Are these yours?,Je! Hizi ni zako?
Bring him to me.,Mlete kwangu.
Can you find it?,Je! Unaweza kuipata?
Can you find it?,Je! Unaweza kuipata?
Can you hear me?,Unaweza kunisikia?
Can you hear me?,Unaweza kunisikia?
Can you help me?,Unaweza kunisaidia?
Close your eyes.,Funga macho yako.
Come if you can.,Njoo ikiwa unaweza.
Defend yourself.,Jitetee.
Did you miss me?,Ulinikosa?
Did you miss me?,Ulinikosa?
Did you miss me?,Ulinikosa?
Do you have one?,Je! Unayo?
Do you have one?,Je! Unayo?
Do you have one?,Je! Unayo?
Do you know why?,Unajua kwanini?
Do you remember?,Unakumbuka?
Does it look OK?,Inaonekana sawa?
Don't look back.,Usiangalie nyuma.
Don't look back.,Usiangalie nyuma.
Don't look back.,Usiangalie nyuma.
Don't play here.,Usicheze hapa.
Enjoy your meal!,Furahia mlo wako!
Get out of here.,Ondoka hapa.
Give me a break.,Nipe mapumziko.
"Great, isn't it?","Kubwa, sivyo?"
Green suits you.,Kijani inakufaa.
He began to cry.,Alianza kulia.
He got the ball.,Alipata mpira.
He got the ball.,Alipata mpira.
He lost his job.,Alipoteza kazi.
He lost his job.,Alipoteza kazi.
He will also go.,Pia atakwenda.
He's not stupid.,Yeye sio mjinga.
How are you now?,Habari yako sasa?
How interesting!,Jinsi ya kuvutia!
How is everyone?,Vipi kila mtu?
How is everyone?,Vipi kila mtu?
How nice of you!,Jinsi nzuri kwako!
How nice of you!,Jinsi nzuri kwako!
How old are you?,Una miaka mingapi?
I am not afraid.,Siogopi.
I called Tom up.,Nilimpigia simu Tom.
I called my dog.,Niliita mbwa wangu.
I go every year.,Ninaenda kila mwaka.
I hate politics.,Nachukia siasa.
I have a sister.,Nina dada.
I have no money.,Sina pesa.
I have no money.,Sina pesa.
I have ten pens.,Nina kalamu kumi.
I have two cars.,Nina magari mawili.
I keep sneezing.,Ninaendelea kupiga chafya.
I like your car.,Napenda gari lako.
I must help her.,Lazima nimsaidie.
I must help him.,Lazima nimsaidie.
I need a pencil.,Nahitaji penseli.
I need his help.,Nahitaji msaada wake.
I need the keys.,Nahitaji funguo.
I need to study.,Ninahitaji kusoma.
I play with him.,Ninacheza naye.
I played tennis.,Nilicheza tenisi.
I prefer biking.,Napendelea baiskeli.
I prefer biking.,Napendelea baiskeli.
I prefer biking.,Napendelea baiskeli.
I read his book.,Nilisoma kitabu chake.
I run every day.,Ninakimbia kila siku.
I think it's OK.,Nadhani ni sawa.
I want that bag.,Nataka begi hiyo.
I want to drive.,Nataka kuendesha.
I went shopping.,Nilikwenda kununua.
I will miss you.,Nitakukosa.
I'll get my bag.,Nitapata begi langu.
I'm a night owl.,Mimi ni bundi wa usiku.
I'm feeling fit.,Ninahisi kuwa sawa.
I'm feeling fit.,Ninahisi kuwa sawa.
I'm from Canada.,Ninatoka Canada.
I'm from Turkey.,Mimi ni kutoka Uturuki.
I'm from Zambia.,Ninatoka Zambia.
I'm not kidding.,Sina watoto.
I'm not thirsty.,Sina kiu.
I'm on the list.,Niko kwenye orodha.
I'm reading now.,Ninasoma sasa.
I'm very hungry.,Nina njaa sana.
I'm your friend.,Mimi ni rafiki yako.
Is it not black?,Sio nyeusi?
Is she Japanese?,Je! Yeye ni Kijapani?
Is this a river?,Je! Hii ni mto?
It's a nice day.,Ni siku nzuri.
It's a surprise.,Ni mshangao.
It's artificial.,Ni bandia.
It's artificial.,Ni bandia.
It's cold today!,Ni baridi leo!
It's cold today.,Ni baridi leo.
It's impossible.,Haiwezekani.
It's impossible.,Haiwezekani.
It's lunch time.,Ni wakati wa chakula cha mchana.
It's lunch time.,Ni wakati wa chakula cha mchana.
It's not broken.,Haijavunjika.
It's not enough.,Haitoshi.
It's not so far.,Sio mbali.
It's okay to go.,Ni sawa kwenda.
Lemons are sour.,Lemoni ni tamu.
Let me go alone.,Acha niende peke yangu.
Let me help you.,Acha nikusaidie.
Let's go by bus.,Wacha tuende kwa basi.
Let's stop here.,Wacha tuache hapa.
Let's turn back.,Wacha turudi nyuma.
Make it smaller.,Fanya iwe ndogo.
Mary is my wife.,Mariamu ni mke wangu.
May I interrupt?,Naweza kukatiza?
Merry Christmas!,Krismasi njema!
Money was tight.,Pesa ilikuwa ngumu.
My house is big.,Nyumba yangu ni kubwa.
My life is over.,Maisha yangu yamekwisha.
Never play here.,Kamwe usicheze hapa.
Never say never.,Kamwe usiseme kamwe.
Open the window.,Fungua dirisha.
Please sit down.,Tafadhali kaa chini.
Please sit down.,Tafadhali kaa chini.
Please sit down.,Tafadhali kaa chini.
Please take one.,Tafadhali chukua moja.
Prices are high.,Bei ni kubwa.
See you at home.,Tutaonana nyumbani.
Send it by mail.,Tuma kwa barua.
She is a singer.,Yeye ni mwimbaji.
She is not tall.,Yeye sio mrefu.
She talks a lot.,Anaongea sana.
She talks a lot.,Anaongea sana.
She talks a lot.,Anaongea sana.
She talks a lot.,Anaongea sana.
She's my sister.,Yeye ni dada yangu.
She's my sister.,Yeye ni dada yangu.
Sit up straight.,Kaa moja kwa moja.
Sit up straight.,Kaa moja kwa moja.
That is a table.,Hiyo ni meza.
That isn't fair.,Hiyo sio sawa.
That's too much.,Hiyo ni nyingi sana.
The book is red.,Kitabu ni nyekundu.
The boy is kind.,Mvulana ni mkarimu.
The boy is kind.,Mvulana ni mkarimu.
The boy is nice.,Mvulana ni mzuri.
The door opened.,Mlango ulifunguliwa.
The sea is calm.,Bahari ni shwari.
These are birds.,Hizi ni ndege.
They look happy.,Wanaonekana kuwa na furaha.
They're too big.,Ni kubwa sana.
This car is his.,Gari hili ni lake.
This is the end.,Huu ndio mwisho.
This isn't fair.,Hii sio sawa.
Today is Monday.,Leo ni Jumatatu.
Today is Sunday.,Leo ni Jumapili.
Tom felt strong.,Tom alihisi nguvu.
Tom is no angel.,Tom sio malaika.
Tom is watching.,Tom anaangalia.
Tom lived there.,Tom aliishi hapo.
Tom read a book.,Tom alisoma kitabu.
Turn off the TV.,Zima TV.
We are teachers.,Sisi ni waalimu.
We are teachers.,Sisi ni waalimu.
We have a guest.,Tunayo mgeni.
We have to help.,Lazima tusaidie.
We're Canadians.,Sisi ni Canada.
We're Canadians.,Sisi ni Canada.
We're listening.,Tunasikiliza.
What a surprise!,Mshangao gani!
What did he say?,Alisema nini?
What did he say?,Alisema nini?
What is his age?,Umri wake ni nini?
What's going on?,Nini kinaendelea?
Where did he go?,Alienda wapi?
Where's my book?,Kitabu changu kiko wapi?
Where's the map?,Ramani iko wapi?
Who is that man?,Mtu huyo ni nani?
Write that down.,Andika hiyo chini.
You almost died.,Karibu umekufa.
You betrayed me.,Ulinisaliti.
You betrayed me.,Ulinisaliti.
You look gloomy.,Unaonekana kutetemeka.
You look stupid.,Unaonekana mjinga.
You'll get lost.,Utapotea.
You'll get lost.,Utapotea.
You're a coward!,Wewe ni mwoga!
You're an angel!,Wewe ni malaika!
You're an angel!,Wewe ni malaika!
A girl phoned me.,Msichana alinipigia simu.
Are they friends?,Ni marafiki?
Are you a maniac?,Je! Wewe ni maniac?
Are you new here?,Je! Wewe ni mpya hapa?
"At last, he came.","Mwishowe, alikuja."
Call me tomorrow.,Niite kesho.
Can we trust you?,Je! Tunaweza kukuamini?
Can you prove it?,Je! Unaweza kuithibitisha?
Can you prove it?,Je! Unaweza kuithibitisha?
Cherries are red.,Cherries ni nyekundu.
Clean the mirror.,Safisha kioo.
